iteration = 149:11100101111001110100001110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.918123, P = 1
iteration = 150:11100101111001100100001110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.343937, P = 1
iteration = 151:11100101111001100100000110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.450403, P = 1
iteration = 152:11100101111001100100000110110011110001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.793524, P = 1
iteration = 153:11100101111001100100000111110011110001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.826982, P = 1
iteration = 154:11100101111001100100100111110011110001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0533234, P = 1
iteration = 155:11100101111001100100100111110011110000011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.410743, P = 1
iteration = 156:11100101111001100100100111110011110001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.000782713, P = 1
iteration = 157:11100101111001101100100111110011110001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.535882, P = 1
iteration = 158:11100101111000101100100111110011110001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.514573, P = 1
iteration = 159:11100101111000101100100111110011110001001110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.637474, P = 1
iteration = 160:11100101111000101100100111110011110001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.874206, P = 1
iteration = 161:11100101111000101100100111010011110001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.541639, P = 1
iteration = 162:01100101111000101100100111010011110001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0769901, P = 1
iteration = 163:01100001111000101100100111010011110001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.270487, P = 1
iteration = 164:01100000111000101100100111010011110001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.598314, P = 1
iteration = 165:01100000111000111100100111010011110001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.702402, P = 1
iteration = 166:01100000111000111100100111010011010001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.9559, P = 1
iteration = 167:01100000111000111110100111010011010001101110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.713831, P = 1
